time,open,high,low,close,tick_volume,spread,real_volume
2011-05-16 22:00:00,1491.78,1493.9,1490.6,1491.35,867,60,0
2011-05-16 23:00:00,1491.3,1491.82,1489.2,1489.6,411,60,0
2011-05-17 01:00:00,1490.5,1491.4,1489.3,1489.85,354,55,0
2011-05-17 02:00:00,1489.6,1490.6,1489.35,1489.8,141,55,0
2011-05-17 03:00:00,1489.9,1491.7,1489.9,1490.8,310,50,0
2011-05-17 04:00:00,1490.7,1491.8,1490.4,1491.4,260,60,0
2011-05-17 05:00:00,1491.5,1492.5,1491.1,1492.3,280,55,0
2011-05-17 06:00:00,1492.6,1495.1,1492.6,1494.4,231,60,0
2011-05-17 07:00:00,1494.65,1494.88,1493.4,1494.25,264,50,0
2011-05-17 08:00:00,1494.2,1494.3,1492.75,1493.8,439,50,0
2011-05-17 09:00:00,1493.6,1495.9,1493.35,1494.75,411,60,0
2011-05-17 10:00:00,1494.9,1497.5,1494.29,1496.15,560,50,0
2011-05-17 11:00:00,1496.28,1496.28,1491.5,1493.15,703,50,0
2011-05-17 12:00:00,1493.2,1496.7,1491.8,1492.9,910,50,0
2011-05-17 13:00:00,1492.7,1495.7,1492.4,1495.0,800,50,0
2011-05-17 14:00:00,1495.2,1495.3,1492.2,1492.8,804,50,0
2011-05-17 15:00:00,1492.85,1492.9,1475.9,1478.5,1708,50,0
2011-05-17 16:00:00,1478.4,1481.9,1477.1,1479.75,2091,50,0
2011-05-17 17:00:00,1479.7,1484.9,1478.0,1479.7,2293,50,0
2011-05-17 18:00:00,1479.6,1480.2,1471.68,1475.9,2299,50,0
2011-05-17 19:00:00,1476.0,1483.3,1474.95,1480.35,1688,50,0
2011-05-17 20:00:00,1480.4,1482.3,1478.2,1481.35,1707,50,0
2011-05-17 21:00:00,1481.3,1484.35,1477.55,1482.6,1713,50,0
2011-05-17 22:00:00,1482.55,1484.5,1480.6,1484.4,961,50,0
2011-05-17 23:00:00,1484.5,1485.2,1483.45,1485.2,168,50,0
2011-05-18 01:00:00,1487.15,1488.7,1486.0,1486.55,257,55,0
2011-05-18 02:00:00,1486.45,1487.25,1485.35,1485.5,219,50,0
2011-05-18 03:00:00,1485.45,1488.3,1484.75,1487.4,470,50,0
2011-05-18 04:00:00,1487.5,1490.7,1486.5,1489.7,458,50,0
2011-05-18 05:00:00,1489.65,1492.5,1489.5,1490.8,298,50,0
2011-05-18 06:00:00,1490.9,1492.7,1490.7,1491.9,299,50,0
2011-05-18 07:00:00,1491.8,1492.6,1490.9,1492.33,623,50,0
2011-05-18 08:00:00,1492.3,1492.8,1490.3,1491.5,512,50,0
2011-05-18 09:00:00,1491.6,1492.15,1488.0,1488.55,1143,50,0
2011-05-18 10:00:00,1488.6,1496.0,1488.6,1492.4,1474,50,0
2011-05-18 11:00:00,1492.35,1496.5,1492.05,1493.47,1312,57,0
2011-05-18 12:00:00,1493.43,1494.15,1490.4,1491.5,1110,55,0
2011-05-18 13:00:00,1491.6,1494.6,1491.3,1493.7,947,50,0
2011-05-18 14:00:00,1493.8,1494.5,1490.9,1491.65,1065,50,0
2011-05-18 15:00:00,1491.72,1493.5,1488.8,1492.5,1229,50,0
2011-05-18 16:00:00,1492.3,1498.2,1489.1,1496.05,2213,50,0
2011-05-18 17:00:00,1496.15,1499.4,1495.45,1497.1,1202,50,0
2011-05-18 18:00:00,1497.3,1499.6,1496.0,1498.1,826,50,0
2011-05-18 19:00:00,1498.4,1499.6,1495.4,1495.8,763,50,0
